id,name,serving_sie,calorie,carbohydrate,protein,fat
1,감자 주먹 밥,215,239.38,41.9,8.97,5.61
2,고추장불고기 삼각김밥,100,165.29,34.11,3.66,1.58
3,고추장불고기 삼각김밥(강원도),100,165,35.46,3.83,0.91
4,고추장불고기 삼각김밥(경기도),100,167,34.99,3.49,1.46
5,고추장불고기 삼각김밥(경상도),100,165,35.71,3.62,0.84
6,고추장불고기 삼각김밥(서울),100,171,32.98,3.45,2.76
7,고추장불고기 삼각김밥(전라도),100,164,32.5,3.69,2.18
8,고추장불고기 삼각김밥(충청도),100,160,33.03,3.89,1.32
9,곤드레나물밥(정선),350,521.83,98.86,10.28,9.48
10,국밥(안성),800,418.34,58.58,27.55,8.2
11,"국밥, 굴",100,105.13,13.6,6.53,2.73
12,김밥,200,317.68,57.57,7.26,6.48
13,김밥(강원도),200,322,60.79,6.55,5.75
14,김밥(경기도),200,354,64.43,6.84,7.68
15,김밥(경상도),200,310,54.21,6.81,7.36
16,김밥(서울),200,304,53.1,10.33,5.56
17,김밥(전라도),200,314,56.09,5.65,7.45
18,김밥(충청도),200,302,56.83,7.39,5.08
19,김치 고구마 밥,206,247.84,54.01,3.79,2.51
20,김치김밥,250,344.97,60.67,10.93,6.51
21,김치김밥(강원도),250,347.5,61.73,9.6,6.78
22,김치김밥(경기도),250,345,59.19,10.66,7.37
23,김치김밥(경상도),250,335,62.06,11.4,4.6
24,김치김밥(서울),250,357.5,62.24,11.38,7.03
25,김치김밥(전라도),250,340,59.55,11.12,6.28
26,김치김밥(충청도),250,345,59.22,11.41,7.02
27,김치볶음밥,500,754.73,120,23.07,20.27
28,김치볶음밥(강원도),500,805,120.46,21.83,26.2
29,김치볶음밥(경기도),500,780,127.39,20.15,20.92
30,김치볶음밥(경상도),500,760,124.92,25.11,17.62
31,김치볶음밥(서울),500,720,115.22,25.67,17.17
32,김치볶음밥(전라도),500,700,102.82,27.38,20.09
33,김치볶음밥(충청도),500,765,129.18,18.24,19.66
34,김치쌈밥,169,205.15,39.48,7.55,4.11
35,농어초밥,250,396.74,78.75,17.43,1.34
36,농어초밥(강원도),250,397.5,79.5,18.61,0.58
37,농어초밥(경기도),250,392.5,77.07,16.66,1.95
38,농어초밥(경상도),250,392.5,80.29,15.51,1.04
39,농어초밥(서울),250,372.5,63.16,23.39,3.04
40,농어초밥(전라도),250,420,88.58,15.86,0.36
41,농어초밥(충청도),250,402.5,83.88,14.56,1.06
42,돼지국밥(밀양),1200,911.4,74.66,66.36,38.59
43,두부 채소 볶음밥,281,321.41,60.3,13.63,6.58
44,레몬이 들어간 새우 케밥,200,215.4,35.02,15.16,2.86
45,류산슬덮밥,550,574.99,73.95,26.96,19.04
46,류산슬덮밥(강원도),550,572,78.78,25.6,17.21
47,류산슬덮밥(경기도),550,555.5,78.37,25.37,15.72
48,류산슬덮밥(경상도),550,577.5,65.27,31.34,21.5
49,류산슬덮밥(서울),550,599.5,79.62,27.5,19.26
50,류산슬덮밥(전라도),550,528,58.7,24.51,21.43
51,류산슬덮밥(충청도),550,616,82.95,27.46,19.11
52,멍게비빔밥(거제),400,547.21,90.67,16.57,13.14
53,멸치주먹밥,150,312.43,54.33,9.04,6.55
54,묵밥(영주),950,642.16,128.55,14.76,7.66
55,문어초밥,250,392.23,81.78,14.61,0.74
56,문어초밥(강원도),250,375,78.43,13.62,0.86
57,문어초밥(경기도),250,375,77.57,14.14,0.95
58,문어초밥(경상도),250,380,79.71,14.61,0.4
59,문어초밥(서울),250,362.5,70.11,18.51,0.92
60,문어초밥(전라도),250,440,94.63,13.48,0.94
61,문어초밥(충청도),250,417.5,90.21,13.33,0.37
62,볶음밥,400,773.3,112.68,18.79,27.5
63,볶음밥(강원도),400,852,115.84,21.45,33.46
64,볶음밥(경기도),400,600,72.86,15.9,27.29
65,볶음밥(경상도),400,812,132.69,16.38,24.03
66,볶음밥(서울),400,640,101.28,20.5,17.18
67,볶음밥(전라도),400,888,126.64,19.68,33.54
68,볶음밥(충청도),400,848,126.74,18.81,29.47
69,불고기덮밥,500,669.3,102.35,28.62,16.16
70,불고기덮밥(강원도),500,680,95.92,27.26,20.77
71,불고기덮밥(경기도),500,675,108.98,27.97,14.06
72,불고기덮밥(경상도),500,655,106.48,26.67,13.52
73,불고기덮밥(서울),500,640,74.16,38.41,21.23
74,불고기덮밥(전라도),500,700,118.82,20.58,15.7
75,불고기덮밥(충청도),500,665,109.75,30.85,11.66
76,비빔밥,500,706.62,114.83,19.92,18.62
77,비빔밥(강원도),500,850,94.89,22.59,42.27
78,비빔밥(경기도),500,635,122.28,19.14,7.95
79,비빔밥(경상도),500,695,109.9,18,20.24
80,비빔밥(서울),500,670,116.56,21.35,13.23
81,비빔밥(전라도),500,685,123.08,21.09,11.9
82,비빔밥(전주),450,691.62,98.73,24.6,22.03
83,비빔밥(충청도),500,705,122.26,17.35,16.16
84,삼선볶음밥,400,686.11,85.75,26.24,26.46
85,삼선볶음밥(강원도),400,676,84.72,27.46,25.36
86,삼선볶음밥(경기도),400,568,77.76,21.97,18.64
87,삼선볶음밥(경상도),400,724,93.44,27.78,26.41
88,삼선볶음밥(서울),400,708,90.74,24.49,27.48
89,삼선볶음밥(전라도),400,716,77.83,28.65,32.24
90,삼선볶음밥(충청도),400,728,90.03,27.06,28.64
91,새싹 비빔밥,251,264.53,50.53,8.73,5.35
92,새우볶음밥,400,700.02,112.86,17.92,19.66
93,새우볶음밥(강원도),400,708,121.17,16.85,17.45
94,새우볶음밥(경기도),400,676,109.86,17.91,18.22
95,새우볶음밥(경상도),400,648,102.3,19.14,18
96,새우볶음밥(서울),400,752,113.46,18.4,24.92
97,새우볶음밥(전라도),400,680,100.73,19.17,22.1
98,새우볶음밥(충청도),400,736,129.62,16.04,17.25
99,새우초밥,250,387.67,78.42,16.81,0.75
100,새우초밥(강원도),250,382.5,77.51,17.22,0.41
101,새우초밥(경기도),250,390,78.15,16.36,1.3
102,새우초밥(경상도),250,405,85.46,14.89,0.28
103,새우초밥(서울),250,372.5,72.77,19.27,0.46
104,새우초밥(전라도),250,400,81.17,16.4,1.2
105,새우초밥(충청도),250,377.5,75.47,16.68,0.87
106,새우튀김롤,300,606.5,96.28,14.47,18.17
107,새우튀김롤(강원도),300,612,88.61,13.33,22.76
108,새우튀김롤(경기도),300,627,98.65,14.03,19.72
109,새우튀김롤(경상도),300,549,95.72,14.46,12.07
110,새우튀김롤(서울),300,645,103.08,15.29,19.04
111,새우튀김롤(전라도),300,570,90.25,15.08,16.5
112,새우튀김롤(충청도),300,633,101.37,14.62,18.92
113,샐러드김밥,250,405.95,61.45,9.61,13.52
114,샐러드김밥(강원도),250,407.5,63.23,8.62,13.3
115,샐러드김밥(경기도),250,402.5,60.54,10.22,13.39
116,샐러드김밥(경상도),250,400,58.1,10.85,13.87
117,샐러드김밥(서울),250,402.5,64.73,9.86,11.65
118,샐러드김밥(전라도),250,395,61.73,8.89,12.58
119,샐러드김밥(충청도),250,425,60.37,9.26,16.33
120,생선초밥(광어),300,453.78,77.55,27.07,3.92
121,생선초밥(광어)(강원도),300,465,89.64,19.97,3.04
122,생선초밥(광어)(경기도),300,462,80.18,25.63,4.43
123,생선초밥(광어)(경상도),300,435,75.85,26.56,2.71
124,생선초밥(광어)(서울),300,444,67.79,35.09,3.73
125,생선초밥(광어)(전라도),300,465,72.85,27.63,6.99
126,생선초밥(광어)(충청도),300,450,78.98,27.55,2.62
127,생선초밥(모듬),300,461.97,76.43,25.42,6.06
128,생선초밥(모듬)(강원도),300,426,68.96,27.71,4.26
129,생선초밥(모듬)(경기도),300,453,81.68,22.97,3.79
130,생선초밥(모듬)(경상도),300,465,78.35,22.31,7.04
131,생선초밥(모듬)(서울),300,474,72.76,28.06,8
132,생선초밥(모듬)(전라도),300,474,79.7,27.27,5.06
133,생선초밥(모듬)(충청도),300,480,77.13,24.21,8.22
134,소고기국밥(밥포함),700,330.53,42.62,21.82,8.09
135,소고기김밥,250,400.61,62.52,15.98,9.62
136,소고기김밥(강원도),250,402.5,60.93,15.61,10.57
137,소고기김밥(경기도),250,395,62.29,15.26,9.45
138,소고기김밥(경상도),250,370,63.03,16.02,5.85
139,소고기김밥(서울),250,395,65.45,15.12,8
140,소고기김밥(전라도),250,432.5,63.76,16.47,12.43
141,소고기김밥(충청도),250,410,59.63,17.39,11.44
142,소머리국밥,800,631.99,17.53,75.98,28.66
143,소머리국밥(강원도),800,616,3.62,86.18,28.35
144,소머리국밥(경기광주),1100,903.95,74.87,83.19,30.18
145,소머리국밥(경기도),800,792,15.53,96.42,37.97
146,소머리국밥(경상도),800,784,30.76,86.93,34.96
147,소머리국밥(서울),800,552,17.24,54.48,29.61
148,소머리국밥(전라도),800,600,23.16,76.11,22.63
149,소머리국밥(충청도),800,448,14.87,55.81,18.42
150,송이덮밥,600,581.81,95.6,18.22,14.06
151,송이덮밥(강원도),600,528,114.44,16.33,0.32
152,송이덮밥(경기도),600,570,101.41,18.48,10.19
153,송이덮밥(경상도),600,606,88.75,21.23,18.74
154,송이덮밥(서울),600,594,89.45,17.03,18.76
155,송이덮밥(전라도),600,552,81.89,15.37,18.07
156,송이덮밥(충청도),600,636,97.65,20.84,18.27
157,쇠고기 말이 쌈밥,150,203.71,27.5,11.23,6.09
158,숯불갈비 삼각김밥,100,172.4,31.95,3.94,3.2
159,숯불갈비 삼각김밥(강원도),100,162,31.24,4.36,2.22
160,숯불갈비 삼각김밥(경기도),100,160,32.22,3.61,1.83
161,숯불갈비 삼각김밥(경상도),100,158,33.54,4,0.92
162,숯불갈비 삼각김밥(서울),100,162,32.39,4.16,1.76
163,숯불갈비 삼각김밥(전라도),100,165,32.85,4.01,2
164,숯불갈비 삼각김밥(충청도),100,159,33.04,3.85,1.31
165,쌀밥,200,272,66.4,6,0.2
166,쌈밥,316,314.55,57.51,13.21,3.63
167,알밥,400,618.5,116.78,14.59,10.34
168,알밥(강원도),400,556,105.94,14.36,8.23
169,알밥(경기도),400,660,116.46,10.87,16.88
170,알밥(경상도),400,652,123.42,15.98,10.65
171,알밥(서울),400,636,124.11,14.91,8.8
172,알밥(전라도),400,620,115.51,17.46,9.59
173,알밥(충청도),400,588,115.22,13.96,7.87
174,약초비빔밥(산청),400,511.8,80.16,11.9,15.95
175,연어롤,300,510.19,74.32,18.57,15.41
176,연어롤(강원도),300,534,73.26,19.47,18.17
177,연어롤(경기도),300,495,70.83,18.41,15.25
